TransectID,veg_type,rate_m_yr,group
306,Built-up,-3.972222991450978,Built-up
307,Built-up,-1.0939906342484098,Built-up
308,Built-up,-1.1570295946587414,Built-up
309,Degraded Vegetation,-0.3908159678047805,Degraded Vegetation
310,Degraded Vegetation,-0.7712753523450752,Degraded Vegetation
311,Degraded Vegetation,-0.9553515423488146,Degraded Vegetation
312,Degraded Vegetation,-0.4476054041622084,Degraded Vegetation
313,Degraded Vegetation,-0.5754739545410636,Degraded Vegetation
314,Degraded Vegetation,-0.8896696003952937,Degraded Vegetation
315,Degraded Vegetation,-0.8998990078279194,Degraded Vegetation
316,Degraded Vegetation,-0.6798382461476218,Degraded Vegetation
317,Degraded Vegetation,-0.830802348804996,Degraded Vegetation
318,Degraded Vegetation,-1.2898931758768055,Degraded Vegetation
319,Degraded Vegetation,-1.2567296547507445,Degraded Vegetation
320,Degraded Vegetation,-0.775851887657727,Degraded Vegetation
321,Degraded Vegetation,-0.5378686077612518,Degraded Vegetation
322,Degraded Vegetation,-0.4169840707395146,Degraded Vegetation
323,Healthy Vegetation,-0.1085934488534012,Healthy Vegetation
324,Built-up,-0.3842359908765457,Built-up
325,Degraded Vegetation,-0.3546718152729352,Degraded Vegetation
326,Healthy Vegetation,-0.2161938725430155,Healthy Vegetation
327,Degraded Vegetation,-0.0458118992621702,Degraded Vegetation
328,Healthy Vegetation,-0.4463029259020297,Healthy Vegetation
329,Degraded Vegetation,-0.0117871178404891,Degraded Vegetation
330,Degraded Vegetation,0.4568373194158132,Degraded Vegetation
331,Degraded Vegetation,-0.018554704402578,Degraded Vegetation
332,Degraded Vegetation,0.0360417916279371,Degraded Vegetation
333,Built-up,1.7830389597501697,Built-up
334,Degraded Vegetation,0.779375458516096,Degraded Vegetation
335,Degraded Vegetation,0.9419235886012588,Degraded Vegetation
336,Healthy Vegetation,-0.0608750831724942,Healthy Vegetation
337,Degraded Vegetation,2.059444276376009,Degraded Vegetation
338,Degraded Vegetation,1.6126208059042624,Degraded Vegetation
339,Degraded Vegetation,2.340997360837225,Degraded Vegetation
340,Built-up,0.3429377553552455,Built-up
341,Degraded Vegetation,0.730291282726477,Degraded Vegetation
342,Degraded Vegetation,1.7034616490719023,Degraded Vegetation
343,Degraded Vegetation,1.813697214801108,Degraded Vegetation
344,Degraded Vegetation,1.9441983283553723,Degraded Vegetation
345,Degraded Vegetation,2.32914286622061,Degraded Vegetation
346,Degraded Vegetation,1.17403446191301,Degraded Vegetation
347,Degraded Vegetation,0.7403786431593539,Degraded Vegetation
348,Degraded Vegetation,2.03304271016496,Degraded Vegetation
349,Degraded Vegetation,1.0115927760018129,Degraded Vegetation
350,Degraded Vegetation,0.4417982574523457,Degraded Vegetation
351,Degraded Vegetation,-0.2146110215749288,Degraded Vegetation
352,Healthy Vegetation,0.2985773201532997,Healthy Vegetation
353,Degraded Vegetation,1.329819999849548,Degraded Vegetation
354,Degraded Vegetation,1.61157581722272,Degraded Vegetation
355,Degraded Vegetation,1.5254964432309597,Degraded Vegetation
356,Healthy Vegetation,2.064140270047229,Healthy Vegetation
357,Healthy Vegetation,1.6647296286160955,Healthy Vegetation
358,Degraded Vegetation,2.0313427131048662,Degraded Vegetation
359,Degraded Vegetation,1.8344694956268344,Degraded Vegetation
360,Degraded Vegetation,-0.0386495538749977,Degraded Vegetation
361,Degraded Vegetation,2.2606176026873035,Degraded Vegetation
362,Built-up,4.204464211454949,Built-up
363,Degraded Vegetation,0.0189180377631388,Degraded Vegetation
364,Degraded Vegetation,1.1374409198153357,Degraded Vegetation
365,Degraded Vegetation,0.7144711110393362,Degraded Vegetation
366,Degraded Vegetation,0.9812912259712,Degraded Vegetation
367,Degraded Vegetation,0.8867861028646116,Degraded Vegetation
368,Degraded Vegetation,0.4628341633865839,Degraded Vegetation
369,Healthy Vegetation,0.5411878764119774,Healthy Vegetation
370,Degraded Vegetation,0.9065037151023454,Degraded Vegetation
371,Degraded Vegetation,0.483430379150182,Degraded Vegetation
372,Degraded Vegetation,0.5468564227841528,Degraded Vegetation
373,Degraded Vegetation,0.888067548865352,Degraded Vegetation
374,Degraded Vegetation,0.7691452828437194,Degraded Vegetation
375,Degraded Vegetation,0.5144611122549312,Degraded Vegetation
376,Degraded Vegetation,1.1510783139667795,Degraded Vegetation
377,Degraded Vegetation,1.8639236394930656,Degraded Vegetation
378,Degraded Vegetation,0.9774814971245024,Degraded Vegetation
379,Degraded Vegetation,0.1558631396159923,Degraded Vegetation
380,Degraded Vegetation,0.0383592842563701,Degraded Vegetation
381,Degraded Vegetation,-0.3846540826410775,Degraded Vegetation
382,Degraded Vegetation,-0.4848952949098999,Degraded Vegetation
383,Degraded Vegetation,-0.4234204896548178,Degraded Vegetation
384,Degraded Vegetation,0.8155571710622729,Degraded Vegetation
385,Degraded Vegetation,1.0360726358630103,Degraded Vegetation
386,Degraded Vegetation,0.8709883391135634,Degraded Vegetation
387,Degraded Vegetation,0.2268283173854305,Degraded Vegetation
388,Degraded Vegetation,0.5492374364753837,Degraded Vegetation
389,Degraded Vegetation,0.8600592252735243,Degraded Vegetation
390,Degraded Vegetation,1.2561540067551753,Degraded Vegetation
391,Degraded Vegetation,4.674847076946648,Degraded Vegetation
392,Degraded Vegetation,1.008062722883437,Degraded Vegetation
393,Degraded Vegetation,0.633695444578408,Degraded Vegetation
394,Degraded Vegetation,1.8039720049562584,Degraded Vegetation
395,Healthy Vegetation,2.992793791753405,Healthy Vegetation
396,Healthy Vegetation,4.752645119433946,Healthy Vegetation
397,Degraded Vegetation,2.389875165745252,Degraded Vegetation
398,Degraded Vegetation,1.575008161781281,Degraded Vegetation
399,Degraded Vegetation,1.7552590349896946,Degraded Vegetation
400,Degraded Vegetation,2.9034032578998983,Degraded Vegetation
401,Degraded Vegetation,2.275584005305844,Degraded Vegetation
402,Healthy Vegetation,2.335468104216228,Healthy Vegetation
403,Built-up,2.544377472623776,Built-up
404,Degraded Vegetation,2.665693042133089,Degraded Vegetation
405,Degraded Vegetation,5.328250711457414,Degraded Vegetation
406,Built-up,5.412010664216942,Built-up
407,Built-up,3.358118563042299,Built-up
408,Built-up,2.0219338871043986,Built-up
409,Degraded Vegetation,2.098853074100799,Degraded Vegetation
410,Degraded Vegetation,3.294801659114833,Degraded Vegetation
411,Degraded Vegetation,4.397224799862126,Degraded Vegetation
412,Degraded Vegetation,2.0238303427679694,Degraded Vegetation
413,Built-up,1.600294465411943,Built-up
414,Degraded Vegetation,3.0342566536511444,Degraded Vegetation
415,Degraded Vegetation,4.214374767184055,Degraded Vegetation
416,Degraded Vegetation,3.164444241022327,Degraded Vegetation
417,Built-up,1.1471907936087875,Built-up
418,Degraded Vegetation,0.2711386866729972,Degraded Vegetation
419,Degraded Vegetation,-0.2045890938879652,Degraded Vegetation
420,Degraded Vegetation,-0.0767648545773697,Degraded Vegetation
421,Degraded Vegetation,1.9746277785514148,Degraded Vegetation
422,Degraded Vegetation,3.5836977262634435,Degraded Vegetation
423,Degraded Vegetation,2.4276640487384364,Degraded Vegetation
424,Built-up,2.61731161816531,Built-up
425,Degraded Vegetation,2.143673142785323,Degraded Vegetation
426,Degraded Vegetation,1.6441500173021164,Degraded Vegetation
427,Degraded Vegetation,0.7345204480079803,Degraded Vegetation
428,Degraded Vegetation,1.1997516036905451,Degraded Vegetation
429,Degraded Vegetation,3.5781028953286023,Degraded Vegetation
430,Degraded Vegetation,2.8991084995169483,Degraded Vegetation
431,Degraded Vegetation,1.645690873540855,Degraded Vegetation
432,Degraded Vegetation,1.024055729010016,Degraded Vegetation
433,Degraded Vegetation,1.1387787970385477,Degraded Vegetation
434,Degraded Vegetation,2.3786284936462545,Degraded Vegetation
435,Degraded Vegetation,2.2740996570701344,Degraded Vegetation
436,Degraded Vegetation,1.291202559957198,Degraded Vegetation
437,Degraded Vegetation,-0.8578900126443059,Degraded Vegetation
